Mean endogenous RPM,Mean Reporter RPM*Mean Reporter Edit fraction
28.83753,0
148.049,28.99612
210.8834,23.30618
217.8097,27.29256
204.7897,72.54002
90.82042,152.7574
22.86486,0
68.97605,41.19934
132.3239,86.71959
97.93148,30.89872
207.079,11.97867
13.27333,0
729.7506,0
349.9953,103.0546
136.7884,33.15856
261.7821,46.516
464.4538,84.04513
111.498,53.3321
294.329,143.6605
88.5742,0
254.8099,31.80439
65.35272,0
771.5247,99.41848
217.4079,167.203
109.4179,30.73501
45.2908,96.47856
133.5248,85.15759
451.5674,0
364.9659,17.6072
907.3853,41.94255
419.4062,0
402.7973,207.7959
943.4204,7.274426
117.9027,3.676042
190.8231,68.67347
238.2352,131.3417
350.3603,105.6994
108.4063,79.72812
282.8345,73.61587
270.2732,140.634
119.1746,0.702454
57.34932,0
57.20347,2.525904
140.6993,3.509021
13.22488,0
78.77899,0
81.08435,0
92.9477,2.643015
151.9872,0
146.5191,0
203.6851,11.07124
60.75809,0
131.1221,0
36.53949,0
50.06609,0
99.96092,0
55.78482,7.25261
75.47799,0
44.98273,0
78.30813,0
65.49578,0
184.4498,25.10389
1341.039,174.8155
990.375,61.65306
1651.233,0
717.156,53.06094
548.2998,129.7816
1174.201,0
1090.549,0
1151.752,96.57929
1066.286,67.56718
18.15564,9.424591
1877.438,0
1786.603,75.79447
1535.641,134.4476
1309.411,45.91095
806.7208,0
1049.751,10.65137
682.4255,120.3468
1474.825,86.96109
1496.198,57.14537
258.1043,173.8209
241.1638,75.76058
1508.216,0
729.8396,2.209428
262.8981,115.4196
271.689,227.0446
366.4572,179.0897
178.1514,89.05323
474.9578,43.27903
642.0265,0.897766
554.3076,147.7307
548.406,145.0648
781.6811,99.91378
1205.698,50.77175
1485.595,131.5207
475.6354,139.7201
510.1295,169.2911
509.8585,162.1768
495.6888,189.892
543.3021,66.64113
358.339,199.2938
898.8957,361.7896
320.09,146.0041
286.5399,80.25147
1910.497,10.37463
143.7754,84.79494
693.1914,91.94864
1269.759,315.1746
869.8558,91.50939
392.4525,62.20161
415.4328,1.161056
1802.681,51.63017
855.0632,393.464
312.2614,28.49574
219.0595,20.75999
288.5676,97.49412
1452.133,258.7692
1052.888,219.2518
544.474,237.4578
1244.966,256.1058
1293.184,84.17098
729.3343,91.66773
74.13349,0
35.18111,0
17.60592,0
97.49061,0
50.6434,0
32.55969,0
41.7898,0
35.1348,0
0.320205,3.708923
0.144943,0
7.762576,0.696052
7.553957,0
17.56995,0
29.99597,0
5.033683,0
26.09088,0
5.07302,3.035609
6.795794,0
21.27875,0
52.17235,0
8.19383,0
16.39256,0
0.607679,0
46.70659,4.526974
75.85744,0
26.35486,0
51.45774,0
0.350522,0
52.00529,0
108.9974,1.08922
20.79759,0
0,0
23.14834,0
58.98373,0.996913
25.64021,3.138788
11.08346,5.279747
0,0
8.357579,1.643824
24.61561,7.608342
63.38007,0
15.55795,32.41667
32.29802,0
247.5072,170.8756
444.6523,2.987946
176.7957,1.060686
34.69743,0
161.4964,0
65.69456,0
73.26767,145.6813
135.6757,43.59385
221.5343,0
328.5853,0
40.6338,1.466975
1780.887,68.80203
3124.149,217.5893
707.3875,7.860162
835.1857,7.307332
74.91014,37.26693
265.702,194.871
91.58293,0
139.2716,0
12.07512,0
155.3601,0
1318.489,127.0673
81.04366,31.9456
171.03,11.71627
1275.018,98.30765
160.6894,32.54738
1693.163,359.0922
972.3709,39.26794
1899.13,180.8747
204.5572,3.789438
0,33.25971
2298.312,119.2873
126.3226,42.50669
113.4434,13.17551
202.8028,17.23412
194.0313,9.520822
308.4285,4.502016
161.7256,6.534495
146.92,24.54516
289.6973,0
118.2774,0.725171
128.5539,17.75443
693.9787,59.24618
878.5016,58.03909
652.6489,43.40369
269.319,11.19919
558.8103,0.884113
239.9013,132.4129
3104.295,186.1388
491.212,17.14512
2349.939,211.8231
462.4513,55.71503
332.6781,67.3391
2081.112,132.0966
2061.729,38.2638
337.3861,48.62043
469.2513,18.7754
476.8387,104.7286
511.4762,36.70403
2956.721,199.0393
1855.859,66.79447
3963.074,279.4595
941.0088,19.31236
2.126961,0
144.55,3.789062
287.8291,2.735137
113.8155,1.167753
193.5251,2.647137
54.39598,0
186.2818,4.909657
106.5932,0
28.3136,0
99.41551,36.60933
51.72874,0
14.21605,0
125.0969,1.8367
195.6244,2.34863
0,23.01889
43.45017,2.721654
82.22202,6.400054
71.95901,0
82.21515,9.190572
0.923979,0
20.69469,98.43343
58.58745,6.937843
49.9871,0
153.4542,38.06316
214.996,68.62827
52.93353,0
119.5342,1.609182
73.36087,0
135.7291,105.7139
86.70392,22.85018
25.51089,28.19976
157.5358,25.58461
146.17,29.73031
1.561975,15.89555
368.232,130.1398
441.1168,90.77961
8.062293,0
275.7577,66.83921
157.7626,45.33582
24.90236,0
360.8651,202.0114
797.1173,201.5701
27.48478,0
242.1041,54.23238
584.9276,164.936
206.0038,2.718552
162.3231,163.8464
282.5251,216.8345
135.18,60.19408
486.7129,0
150.0631,73.27918
7021.485,49.96009
1642.728,22.64996
231.1049,12.6043
517.2981,42.02606
255.8606,68.57632
300.7532,24.15519
405.2656,35.96769
344.7423,411.7853
289.9197,66.89507
211.027,105.6551
241.2424,100.1483
2264.262,0
872.0007,59.82912
438.5572,0
126.5579,0
357.4535,0
1014.195,24.39827
244.3157,14.60117
123.2031,39.11928
118.22,2.28985
208.2774,120.8082
218.1769,100.3213
233.6365,0.681733
1027.77,12.8316
403.6337,0
388.2342,3.773334
18.8671,12.92185
147.4673,8.804012
112.8132,15.85218
177.6538,41.31446
43.5406,0
16.40951,4.192355
2120.931,20.41633
192.0133,0
995.8628,8.965412
4006.553,6.426026
178.2524,4.636523
106.0688,17.9701
49.12872,6.482835
20.83729,15.04393
22.64639,13.20344
11.15361,19.65419
514.0959,0
354.9646,74.17791
423.0637,107.0915
703.0091,20.16671
520.3929,15.11841
375.5893,9.595535
475.173,4.291733
1857.753,85.24168
654.304,258.8683
91.09125,47.00712
1555.141,110.6836
243.6591,4.793439
290.9118,190.9934
323.9163,228.8566
493.2441,148.9297
401.9214,8.131294
2197.675,145.2404
682.0749,181.7087
2344.296,178.9526
129.4623,57.33527
4.623292,9.243993
0,1.719006
55.20897,1.182701
119.4965,1.924098
11.14428,0
8.743313,0.997311
64.76587,0
121.9815,0
43.5707,0
69.58189,0.670977
175.2788,0
7.909845,0
0,0
0.431254,2.082687
0,0
2.730736,4.27753
66.44682,2.163846
29.58284,0
88.32342,4.328681
29.2782,0
18.24881,2.271211
282.1435,0
73.53476,1.371816
74.51658,1.157928
55.47914,0
122.654,3.443396
257.6485,3.132888
98.42926,36.24568
106.2698,5.003157
56.68188,69.77589
106.3265,1.47231
69.07883,1.065158
197.2178,2.019575
109.8549,0
66.23277,0
14.37141,0
85.86868,0
154.0439,3.046766
578.229,1.924843
37.2659,0
21.79052,0
176.9893,2.369381
6.345848,0
18.88194,0
65.20907,0
38.90705,0
30.32222,0
15.50895,0
11.44345,21.46712
138.4758,0
64.05608,0
110.8536,48.61892
48.45886,0
56.3119,0
27.59277,0
48.65694,0
39.86245,2.902887
98.66819,0
20.43698,0
23.4464,0
40.50196,0
75.77022,0
61.91323,0
16.62323,30.07732
51.61965,0
59.0213,104.268
113.255,0
52.08973,0
167.9097,0
111.8939,3.201894
161.8074,80.38874
138.3902,61.16401
127.7772,0
61.57378,90.20999
46.87582,0
79.23154,48.77577
69.07994,6.493856
102.148,163.2792
51.95959,59.27288
62.13294,0
5.618404,0
33.75485,0
39.72677,0
46.66745,64.32658
936.0746,31.38873
768.888,82.93218
1142.05,225.5196
1530.858,115.6558
430.1758,94.80246
850.4221,125.343
1483.942,67.47708
1258.698,81.93029
1144.319,55.17681
907.1566,144.4277
617.2493,171.4919
861.1316,241.3113
426.6818,133.0618
463.8654,165.5042
554.413,141.8961
1327.04,132.7769
1287.332,327.2769
363.5081,124.3522
487.5779,55.46751
116.6831,51.49917
251.1705,101.998
407.1719,167.6717
119.1977,70.5537
54.35563,33.25226
103.8787,2.629936
62.23968,55.43483
103.9297,92.99823
126.3128,142.8529
42.42232,22.18894
104.8991,3.18578
276.9086,4.129097
473.4136,4.125539
446.2122,289.594
414.7187,93.76264
212.8249,96.16508
0,151.0826
685.2428,7.397011
494.1903,16.89282
376.4886,10.31534
588.0551,15.95281
34.11322,20.48095
277.9927,37.35123
15.20392,2.230268
34.38651,0
17.2365,0
7.118481,0
44.28992,6.10834
17.22003,0
0.144943,2.405375
7.200376,0
33.45623,4.21653
32.5185,6.128393
32.87871,4.918426
0,0
27.24936,0
17.44226,46.38291
96.28565,0
0,0
5.271704,0.949288
27.22546,0
40.7378,1.981107
0,0
31.15999,4.978765
0,0
3.188755,0
0,0
0,0
0,0
0,0
0,0
0,0
6.686063,0
0,0
43.96572,13.29583
0,0
0,0
0,34.33278
0,0
5.883996,2.442788
0.215627,0
0,0
2.733217,0
0,0
0,0
0,0
0,0
6.686063,0
0,0
0.559832,0
0,16.82979
0,0
6.043172,0
0.144943,0
0,0
0,0
0,0
0.128578,0
0,0
0,0
0,0
0,0
0,0
0,0
69.54835,69.97441
4.348303,1.518901
9.552808,3.002001
6.866478,2.05586
72.50919,2.218164
13.88644,0
11.0255,5.274817
15.27918,0
32.82855,0
27.31174,0
46.31291,0
10.87756,13.4609
57.99949,5.578182
17.8023,13.54937
88.23126,17.93327
0,0
97.04145,0
8.840711,5.093117
60.36686,25.72166
118.5456,0
7.039258,0
24.30414,35.73328
4.735176,7.895456
137.2615,3.864265
48.13994,13.6595
26.79467,7.512083
89.28745,48.97069
130.6241,35.2701
13.49511,0
37.51725,2.76481
5.96938,0
0,0
58.39325,12.93057
97.63907,1.982491
1.288454,5.481818
240.1631,12.7497
56.72404,0
109.6525,0
28.41484,46.85698
3.388673,3.060011
15.24042,24.17246
90.25597,45.03759
78.45839,26.97854
11.30058,0
73.09093,11.15583
76.84717,60.67225
970.0599,16.55188
124.4205,14.11907
25.82963,6.979967
9.010777,0
594.0754,19.28529
107.5846,13.60016
925.8992,45.24591
562.0287,6.028821
292.9352,0.879656
668.5412,45.44121
436.9885,29.77047
547.0864,54.97039
117.379,8.173635
99.68452,17.20107
159.5922,22.42786
335.7298,8.284539
358.2853,3.508289
180.4468,11.97414
688.3531,46.06771
345.8494,1.823442
604.7591,45.6508
320.6028,14.68833
497.4787,24.1399
431.9835,10.24374
111.2497,13.01889
157.3945,26.79778
86.75231,0.436168
18.25818,0
53.30963,0
37.0217,0
32.84077,0
38.91041,0
31.6343,0
19.54624,0
73.26891,1.461773
13.67037,0
98.70742,0
183.5753,2.108437
51.51317,0
69.89552,0
62.87471,0
135.8268,0
51.44943,0
44.82797,0
29.6768,0
203.3979,2.645238
19.90161,0
2159.238,168.9548
256.3553,68.91307
103.5965,2.748333
2623.65,153.1758
6720.726,383.0302
155.5562,23.57399
2100.897,402.4971
2909.466,300.1235
82.83134,0
4.638189,0
2482.375,253.07
2746.17,598.0934
127.0171,3.697298
21.82847,0
12.50517,0
3260.424,486.3636
3033.669,420.8193
46.76297,1.591393
64.3357,0
2048.775,196.2355
90.80094,9.583076
427.5684,71.65674
431.9034,186.0138
0,0
13.3306,1.529105
321.1913,14.85947
483.5716,7.75703
2057.136,4.808465
277.8561,59.55418
79.30731,0
0,496.0233
184.5584,21.5873
66.63505,6.977385
460.531,134.481
0,0
28.4835,0.592432
176.285,0
4690.227,520.3351
916.7815,426.7387
540.0411,101.2673
95.04227,1.804639
560.5658,235.2312
447.3888,0
283.9238,3.490006
232.1835,32.37735
70.75037,17.94109
530.9956,62.01481
123.6723,48.24161
456.5679,0
262.6706,20.63087
810.3189,27.27376
157.5511,17.63908
433.2011,12.45896
5.94268,0
211.504,26.86748
134.5148,12.59071
456.3818,16.43872
385.7966,15.86105
368.6862,0
322.2253,147.8638
278.9933,0
191.5295,3.938679
150.4348,6.500392
47.02631,0
10.0011,1.745462
0.4021,0
205.5452,9.023196
14.54667,0
9.385562,0
152.094,14.39868
163.131,0
0.128578,0
4.638189,0
5.972998,0
49.76982,0
24.46015,0.323465
0.344205,0
6.428907,0
41.22297,0
5.795324,3.151341
7.501733,1.258351
0.489149,0
123.5593,5.776768
12.97817,1.309118
23.94125,0
78.03441,10.11861
0.128578,0
397.2027,31.89869
55.31079,27.67916
96.92361,49.63312
0,0
12.93763,0
101.2,3.570805
1.72618,0
8.261775,0
53.1112,25.2878
43.39308,0
0.273522,0
100.2052,0
121.2045,45.64377
36.38297,19.43144
67.23728,0
93.46888,56.62025
280.9842,8.753657
99.78597,46.9229
165.5143,58.33149
60.10932,30.44025
54.48253,37.55294
77.11239,2.263591
133.7254,42.08648
388.6477,172.1183
242.8389,39.58044
75.14182,4.044137
659.2742,35.2525
95.20558,0
72.12324,2.977216
135.8995,17.9931
93.67241,7.836562
61.25858,0
214.2275,2.80416
169.8511,57.79966
124.1776,103.8715
81.43073,52.09379
84.62388,8.589948
263.0606,15.99809
106.6395,18.89244
69.27448,5.538046
156.549,0
245.6995,0
243.4083,0
225.8638,3.743481
83.82124,0.526867
173.4183,0
254.0615,0
91.7867,0
240.564,3.235803
72.80101,0
145.8482,25.46777
399.6007,0.876689
348.57,0
334.4647,1.182622
187.9601,0
62.89654,0
56.10233,0
276.2741,3.507493
318.3146,0
4.762545,0
57.86271,2.44954
21.06346,0
17.34682,0
152.3613,0
5.578534,0
0,0
302.8499,68.24264
181.2016,5.682385
0.128578,0
214.7248,36.94219
229.7851,19.22526
40.72663,9.337201
