Mean endogenous RPM,Mean Reporter RPM
131.1221,284.9363
36.53949,481.3553
50.06609,420.6907
99.96092,389.0196
55.78482,612.4346
75.47799,519.9587
44.98273,316.4674
78.30813,401.1588
65.49578,362.8725
184.4498,245.2829
1341.039,329.389
990.375,265.0053
1651.233,262.4637
717.156,71.64204
548.2998,308.7228
1174.201,250.3827
1090.549,200.1719
1151.752,419.374
1066.286,407.0275
18.15564,180.976
1877.438,582.5201
1786.603,320.0608
1535.641,478.7009
1309.411,368.0474
806.7208,211.8412
1049.751,238.4332
682.4255,374.9733
1474.825,236.0372
1496.198,470.1924
258.1043,880.3717
241.1638,1096.851
1508.216,214.6373
729.8396,1429.085
262.8981,1517.214
271.689,1013.964
366.4572,933.3743
178.1514,1167.894
474.9578,1192.587
642.0265,220.5479
554.3076,1042.276
548.406,1902.959
781.6811,1601.001
1205.698,1455.844
1485.595,1137.558
475.6354,966.4988
510.1295,851.113
509.8585,1806.309
495.6888,1198.82
543.3021,757.6524
358.339,1252.029
898.8957,1457.701
320.09,781.3324
286.5399,984.3438
1910.497,1283.22
143.7754,1059.929
693.1914,1809.394
1269.759,1777.332
869.8558,1283.373
392.4525,1406.875
415.4328,1012.813
1802.681,1879.97
855.0632,1186.768
312.2614,1317.99
219.0595,1554.361
288.5676,1533.805
1452.133,1570.879
1052.888,997.3751
544.474,1055.47
1244.966,1346.609
1293.184,1471.399
729.3343,1664.363
74.13349,381.4614
35.18111,367.8989
17.60592,439.003
97.49061,430.8769
50.6434,493.3537
32.55969,290.0581
41.7898,257.6194
35.1348,427.7601
0.320205,475.7496
0.144943,335.6658
7.762576,241.8956
7.553957,309.8966
17.56995,167.5455
29.99597,446.6256
5.033683,402.1337
26.09088,301.9261
5.07302,359.667
6.795794,412.1705
21.27875,279.1542
52.17235,269.8699
8.19383,199.2061
16.39256,836.7739
0.607679,672.366
46.70659,379.7639
75.85744,919.3347
26.35486,239.9525
51.45774,422.8084
0.350522,677.3403
52.00529,420.0466
108.9974,242.501
20.79759,475.9123
0,636.5965
23.14834,223.7293
58.98373,457.6038
25.64021,519.7165
11.08346,574.5241
0,533.8147
8.357579,912.7038
24.61561,645.826
63.38007,507.7827
15.55795,228.6444
32.29802,689.3067
247.5072,1186.059
444.6523,914.8765
176.7957,274.5738
34.69743,337.9917
161.4964,425.9854
65.69456,192.3636
73.26767,647.8066
135.6757,1264.191
221.5343,372.1561
328.5853,501.1357
40.6338,670.9078
1780.887,591.7637
3124.149,1181.531
707.3875,492.155
835.1857,702.8626
74.91014,910.2776
265.702,1777.949
91.58293,461.0479
139.2716,173.3733
12.07512,682.1864
155.3601,451.2461
1318.489,931.5992
81.04366,1093.587
171.03,940.0369
1275.018,894.1624
160.6894,1234.683
1693.163,1865.526
972.3709,620.3354
1899.13,1101.724
204.5572,1377.627
0,688.7156
2298.312,696.415
126.3226,794.3868
113.4434,1043.554
202.8028,1290.186
194.0313,826.9582
308.4285,947.4594
161.7256,988.8863
146.92,1231.426
289.6973,1372.247
118.2774,884.0111
128.5539,980.4713
693.9787,890.5871
878.5016,910.1781
652.6489,1197.771
269.319,501.499
558.8103,1428.822
239.9013,1075.834
3104.295,1208.415
491.212,1186.514
2349.939,1224.757
462.4513,869.3244
332.6781,1030.168
2081.112,1162.85
2061.729,787.1353
337.3861,1397.783
469.2513,929.4298
476.8387,1338.276
511.4762,922.3661
2956.721,1225.34
1855.859,580.5244
3963.074,992.6239
941.0088,893.7093
2.126961,433.0901
144.55,494.6854
287.8291,518.9944
113.8155,413.8858
193.5251,836.5679
54.39598,281.6278
186.2818,369.9038
106.5932,420.1832
28.3136,110.9381
99.41551,562.8473
51.72874,357.0921
14.21605,201.5801
125.0969,385.0917
195.6244,581.5311
0,850.2722
43.45017,562.827
82.22202,352.0063
71.95901,364.9236
82.21515,684.4151
0.923979,710.0956
20.69469,749.4992
58.58745,744.5353
49.9871,453.9851
153.4542,534.6254
214.996,1688.912
52.93353,1338.447
119.5342,1045.693
73.36087,566.9074
135.7291,859.2881
86.70392,641.3052
25.51089,908.8282
157.5358,694.7104
146.17,970.0653
1.561975,592.2949
368.232,866.1272
441.1168,848.4009
8.062293,48.306
275.7577,789.3715
157.7626,611.3479
24.90236,70.87474
360.8651,818.8599
797.1173,880.7598
27.48478,115.3976
242.1041,880.1222
584.9276,954.1792
206.0038,860.9658
162.3231,462.3596
282.5251,608.5734
135.18,761.0521
486.7129,63.74352
150.0631,825.9663
7021.485,721.0946
1642.728,898.4039
231.1049,700.1199
517.2981,1615.952
255.8606,631.0621
300.7532,808.0607
405.2656,678.1392
344.7423,1389.31
289.9197,801.5217
211.027,1439.074
241.2424,647.1459
2264.262,237.1272
872.0007,956.4178
438.5572,163.2094
126.5579,30.82435
357.4535,377.5264
1014.195,538.4363
244.3157,562.6522
123.2031,1035.926
118.22,515.7265
208.2774,958.7332
218.1769,722.2316
233.6365,364.8132
1027.77,301.2908
403.6337,289.0423
388.2342,378.2529
18.8671,489.332
147.4673,365.3984
112.8132,335.5673
177.6538,473.985
43.5406,667.8121
16.40951,379.6466
2120.931,355.264
192.0133,592.976
995.8628,190.7326
4006.553,301.4539
178.2524,596.3577
106.0688,467.0232
49.12872,557.1669
20.83729,442.322
22.64639,560.9764
11.15361,449.8206
514.0959,1235.075
354.9646,1072.69
423.0637,805.3846
703.0091,1375.103
520.3929,1405.404
375.5893,820.036
475.173,1248.186
1857.753,1937.138
654.304,906.9074
91.09125,1052.235
1555.141,1107.542
243.6591,1138.401
290.9118,1036.988
323.9163,1404.004
493.2441,1207.488
401.9214,1251.224
2197.675,757.3653
682.0749,941.0057
2344.296,953.1577
129.4623,799.9229
4.623292,320.927
0,475.9432
55.20897,686.0677
119.4965,289.0447
11.14428,488.8666
8.743313,466.8584
64.76587,280.9799
121.9815,218.3924
43.5707,766.7968
69.58189,502.5895
175.2788,147.7829
7.909845,229.5643
0,721.525
0.431254,288.3652
0,287.4381
2.730736,316.4219
66.44682,669.7537
29.58284,442.9552
88.32342,570.4362
29.2782,211.2946
18.24881,414.5191
282.1435,527.0423
73.53476,361.5453
74.51658,389.7752
55.47914,264.3393
122.654,367.6295
257.6485,662.8794
98.42926,525.4198
106.2698,201.5617
56.68188,177.3172
106.3265,530.5635
69.07883,636.2215
197.2178,415.9689
109.8549,393.5125
66.23277,419.1259
14.37141,465.5574
85.86868,514.7259
154.0439,371.7757
578.229,488.5604
37.2659,226.7155
21.79052,114.2814
176.9893,405.0927
6.345848,293.344
18.88194,232.3862
65.20907,194.3679
38.90705,121.4524
30.32222,155.5215
15.50895,224.2223
11.44345,238.2916
138.4758,309.8431
64.05608,196.241
110.8536,190.2714
48.45886,490.0724
56.3119,329.753
27.59277,345.1921
48.65694,431.0773
39.86245,300.4259
98.66819,448.3482
20.43698,144.2589
23.4464,397.4388
40.50196,257.6613
75.77022,374.5376
61.91323,422.8418
16.62323,467.0412
51.61965,450.5759
59.0213,377.6176
113.255,314.2701
52.08973,214.8389
167.9097,302.0712
111.8939,268.353
161.8074,274.2819
138.3902,397.9425
127.7772,163.5265
61.57378,325.5831
46.87582,175.4725
79.23154,317.9629
69.07994,259.3115
102.148,348.1294
51.95959,442.626
62.13294,168.7873
5.618404,248.7822
33.75485,356.327
39.72677,242.983
46.66745,202.1882
936.0746,688.8083
768.888,492.9559
1142.05,762.386
1530.858,652.3736
430.1758,235.6444
850.4221,699.3794
1483.942,690.4573
1258.698,882.5983
1144.319,794.6495
907.1566,858.0749
617.2493,673.525
861.1316,674.3435
426.6818,1135.421
463.8654,770.1963
554.413,760.3275
1327.04,751.1987
1287.332,818.6506
363.5081,658.8566
487.5779,1653.63
116.6831,215.6257
251.1705,730.9629
407.1719,969.0264
119.1977,374.0323
54.35563,320.7764
103.8787,610.8684
62.23968,686.3719
103.9297,529.9654
126.3128,929.1569
42.42232,751.5291
104.8991,441.7799
276.9086,612.4108
473.4136,503.3573
446.2122,559.1217
414.7187,498.9165
212.8249,235.8302
0,859.268
685.2428,512.3384
494.1903,755.3974
376.4886,893.2348
588.0551,586.922
34.11322,1031.85
277.9927,500.832
15.20392,201.9088
34.38651,394.7843
17.2365,274.5514
7.118481,357.3245
44.28992,414.0275
17.22003,382.7062
0.144943,428.1625
7.200376,199.6889
33.45623,452.2575
32.5185,239.7655
32.87871,297.0553
0,230.2667
27.24936,387.6591
17.44226,620.7152
96.28565,438.2634
0,221.2932
5.271704,378.2824
27.22546,658.2704
40.7378,287.6934
0,421.8161
31.15999,182.359
0,578.1306
3.188755,378.294
0,128.3414
0,400.7711
0,467.1913
0,682.5067
0,264.539
0,232.9957
6.686063,269.8498
0,319.0108
43.96572,479.9724
0,352.3057
0,470.9401
0,390.6849
0,232.0614
5.883996,322.7671
0.215627,322.8109
0,582.5797
2.733217,312.632
0,747.6879
0,887.2309
0,551.9668
0,558.5705
6.686063,503.2136
0,363.5997
0.559832,303.1481
0,401.3812
0,453.2343
6.043172,551.5051
0.144943,444.1289
0,392.8625
0,488.1263
0,576.0254
0.128578,698.9575
0,514.2762
0,470.3539
0,491.6783
0,568.4726
0,396.755
0,515.9962
69.54835,1239.639
4.348303,1322.888
9.552808,695.0612
6.866478,570.2361
72.50919,1378.73
13.88644,1153.959
11.0255,1032.436
15.27918,653.4748
32.82855,506.4341
27.31174,1632.477
46.31291,287.0084
10.87756,1224.986
57.99949,832.4363
17.8023,1046.589
88.23126,763.1573
0,1129.231
97.04145,74.88945
8.840711,1020.515
60.36686,166.8223
118.5456,245.8341
7.039258,715.1015
24.30414,1394.989
4.735176,1258.412
137.2615,1095.121
48.13994,1255.215
26.79467,1088.662
89.28745,352.3008
130.6241,1094.168
13.49511,1148.415
37.51725,752.6006
5.96938,167.7097
0,564.866
58.39325,987.228
97.63907,830.2634
1.288454,875.8973
240.1631,736.9592
56.72404,324.6831
109.6525,555.9178
28.41484,1353.566
3.388673,400.2721
15.24042,1270.456
90.25597,998.1269
78.45839,666.1706
11.30058,815.0758
73.09093,971.1001
76.84717,1145.071
970.0599,1070.846
124.4205,973.8334
25.82963,686.6511
9.010777,1029.639
594.0754,709.4548
107.5846,389.8038
925.8992,1062.063
562.0287,1294.89
292.9352,248.4308
668.5412,911.2723
436.9885,989.4473
547.0864,786.9936
117.379,491.8791
99.68452,748.6117
159.5922,761.3037
335.7298,266.1652
358.2853,330.586
180.4468,344.9259
688.3531,1108.046
345.8494,699.7081
604.7591,442.1046
320.6028,654.4331
497.4787,647.7125
431.9835,698.2797
111.2497,299.375
157.3945,962.4924
86.75231,365.9631
18.25818,589.5281
53.30963,253.5936
37.0217,279.1663
32.84077,335.9465
38.91041,364.0332
31.6343,428.9758
19.54624,420.859
73.26891,244.5559
13.67037,254.3651
98.70742,350.4421
183.5753,274.5624
51.51317,387.1761
69.89552,241.1515
62.87471,615.6378
135.8268,512.1741
51.44943,265.1405
44.82797,515.7107
29.6768,413.7019
203.3979,874.6872
19.90161,476.0891
2159.238,266.2992
256.3553,85.87912
103.5965,47.46325
2623.65,461.483
6720.726,906.9235
155.5562,104.9687
2100.897,402.4971
2909.466,490.0882
82.83134,349.1702
4.638189,430.1982
2482.375,476.0863
2746.17,644.2534
