Control,Stop,Synonymous,Missense
,-0.61959,1.020516,-1.7941
,-0.61448,1.032222,-1.7775
,-0.60299,1.032426,-1.77238
,-0.56945,1.039652,-1.76736
,-0.52841,1.050265,-1.76701
,-0.49815,1.056955,-1.76692
,-0.49072,1.060528,-1.76095
,-0.46223,1.062421,-1.76083
,-0.45056,1.062594,-1.75744
,-0.44656,1.063201,-1.75356
,-0.44193,1.069222,-1.7505
,-0.42705,1.086603,-1.75021
,-0.406,1.089372,-1.74915
,-0.40274,1.08963,-1.74891
,-0.39374,1.090037,-1.74814
,-0.39003,1.091645,-1.74162
,-0.38901,1.105642,-1.73788
,-0.38807,1.109506,-1.73354
,-0.38804,1.115457,-1.73041
,-0.38762,1.122687,-1.7291
,-0.37037,1.125486,-1.72816
,-0.36177,1.130702,-1.72176
,-0.35949,1.133614,-1.71752
,-0.35536,1.136263,-1.71682
,-0.35089,1.146195,-1.71066
,-0.34783,1.148735,-1.71045
,-0.3368,1.16142,-1.70666
,-0.33377,1.164252,-1.70585
,-0.32356,1.168189,-1.70396
,-0.32019,1.173808,-1.70134
,-0.3148,1.178384,-1.70026
,-0.30885,1.178974,-1.69344
,-0.29258,1.179601,-1.69261
,-0.29143,1.188553,-1.68949
,-0.28793,1.204104,-1.68348
,-0.27226,1.20727,-1.67811
,-0.27055,1.215784,-1.67451
,-0.2674,1.222963,-1.67061
,-0.25438,1.245747,-1.66781
,-0.25385,1.250317,-1.66618
,-0.25354,1.25158,-1.66616
,-0.24627,1.252518,-1.66456
,-0.23584,1.259776,-1.66447
,-0.23357,1.261769,-1.66257
,-0.23148,1.263363,-1.66058
,-0.23038,1.280706,-1.65859
,-0.21469,1.287939,-1.65034
,-0.21212,1.295199,-1.64804
,-0.2074,1.295461,-1.6467
,-0.20603,1.317914,-1.64423
,-0.18093,1.319834,-1.64109
,-0.17607,1.322107,-1.64053
,-0.17525,1.325016,-1.63997
,-0.17235,1.343157,-1.63911
,-0.14601,1.344004,-1.6362
,-0.13433,1.346157,-1.63583
,-0.10521,1.353936,-1.63502
,-0.09198,1.356226,-1.62863
,-0.08417,1.360149,-1.62758
,-0.07788,1.37175,-1.62586
,-0.07325,1.375708,-1.62577
,-0.07215,1.382799,-1.62308
,-0.06039,1.384863,-1.623
,-0.05378,1.387581,-1.61938
,-0.05232,1.401109,-1.61903
,-0.03631,1.404745,-1.61535
,-0.03048,1.408769,-1.61496
,-0.00975,1.42609,-1.61441
,0.001948,1.437347,-1.61024
,0.002153,1.439039,-1.61
,0.015414,1.445105,-1.60758
,0.029391,1.445182,-1.60694
,0.030505,1.458362,-1.59868
,0.051987,1.471762,-1.59551
,0.052335,1.485583,-1.59401
,0.066146,1.486305,-1.59009
,0.080223,1.490035,-1.59001
,0.082063,1.492069,-1.58529
,0.092189,1.492141,-1.58379
,0.109141,1.493837,-1.58375
,0.109783,1.506042,-1.58253
,0.133526,1.506047,-1.58232
,0.181592,1.508034,-1.57643
,0.184911,1.517086,-1.57587
,0.190923,1.517353,-1.57297
,0.191339,1.523957,-1.57251
,0.197887,1.528498,-1.56285
,0.202679,1.529578,-1.55632
,0.208644,1.529579,-1.55473
,0.211874,1.529899,-1.55391
,0.212089,1.539924,-1.55141
,0.220941,1.579074,-1.54972
,0.221279,1.594019,-1.54933
,0.247111,1.596399,-1.54871
,0.248621,1.607773,-1.53844
,0.265291,1.610067,-1.53479
,0.301354,1.62586,-1.53354
,0.304989,1.63678,-1.53141
,0.309229,1.646111,-1.52957
,0.311377,1.648645,-1.52872
,0.319717,1.663227,-1.52781
,0.333355,1.669666,-1.52743
,0.350845,1.672533,-1.52218
,0.354278,1.681658,-1.51975
,0.355756,1.702644,-1.50977
,0.362669,1.71486,-1.50078
,0.373807,1.721611,-1.4999
,0.377857,1.744721,-1.49298
,0.389708,1.756409,-1.49234
,0.395519,1.766132,-1.49121
,0.402363,1.771138,-1.48635
,0.406754,1.774951,-1.48032
,0.419081,1.785795,-1.47931
,0.439771,1.801496,-1.47879
,0.441152,1.810942,-1.47427
,0.473579,1.842396,-1.47042
,0.482933,1.844614,-1.46754
,0.488498,1.844675,-1.4636
,0.503527,1.861781,-1.46316
,0.521297,1.884279,-1.46264
,0.52854,1.913184,-1.46111
